, Instance, ogm-ICM, ogm-LBP-LF1, ogm-LBP-LF2, ogm-LF-1, ogm-LF-2, ogm-LF-3, ogm-TRWS-LF1, ogm-TRWS-LF2, BPS-TAB, ogm-BPS, ogm-LBP-0.5, ogm-LBP-0.95, ogm-TRBP-0.5, ogm-TRBP-0.95, ogm-TRBPS, ADDD, MPLP, MPLP-C, ogm-ADSAL, ogm-BUNDLE-A, ogm-BUNDLE-H, ogm-SG-A, ogm-BUNDLE-A+, ogm-SG-A+, ogm-BUNDLE-A-, ogm-SG-A-, TRWS-TAB, BRAOBB-1, BRAOBB-2, BRAOBB-3, ogm-CombiLP
1CKK, value, -11804.03, -12712.41, -12712.41, -11804.03, -12360.49, -12360.49, -12668.02, -12712.41, -12703.47, -10680.22, -12712.41, -12605.41, -12618.21, -11196.59, -10931.23, -9853.30, -11870.42, -12325.59, -12669.84, -11829.88, -11654.62, -11231.26, -11774.67, -11866.27, -11039.46, -10920.07, -12641.64, NaN, NaN, NaN, -12712.41
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -12903.50, -12903.50, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -21410.68, -12890.23, -12739.36, -12856.13, -13658.53, -13458.79, -14552.55, -13430.16, -13657.15, -15042.15, -16972.64, -12903.50, NaN, NaN, NaN, -12712.41
, memory, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.50 GB, 0.35 GB, 7.03 GB, 0.32 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, NaN GB, NaN GB, NaN GB, 14.23 GB
2F3Y, value, -13375.93, -14354.11, -14354.11, -13375.93, -13798.21, -13809.48, -13961.15, -14324.67, -14354.11, -12588.74, -14354.11, -14354.11, -13825.32, -14353.90, -12352.71, -10559.62, -13983.80, -12714.69, -14032.41, -12963.79, -12733.91, -12498.25, -12839.90, -13088.60, -12167.83, -12044.02, -13938.45, NaN, NaN, NaN, -14188.15
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -14653.47, -14653.47, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -22727.65, -14653.09, -14512.73, -14608.84, -15615.82, -15571.90, -16035.77, -15540.31, -15943.77, -16665.23, -18115.09, -14653.47, NaN, NaN, NaN, -14188.15
, memory, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.53 GB, 0.38 GB, 6.26 GB, 0.33 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, NaN GB, NaN GB, NaN GB, 14.68 GB
, runtime, 0.09, 18.73, 44.80, 0.04, 158.65, 41940.71, 35.37, 148.64, 35.13, 207.72, 19.06, 13.59, 208.75, 207.42, 206.59, 351.54, 1469.05, 3923.48, 858.86, 835.00, 841.09, 776.24, 837.83, 772.48, 773.41, 780.65, 34.94, NaN, NaN, NaN, 3667.72
2FOT, value, -11107.30, -11869.77, -11926.85, -11107.30, -11703.17, -11706.45, -11882.47, -11882.47, -11883.06, -11088.92, -11326.75, -11318.86, -11343.62, -11696.35, -10733.78, -9115.62, -11282.40, -11107.05, -11894.55, -11010.16, -11466.37, -11013.61, -11362.41, -11085.01, -10928.42, -10285.25, -11842.46, NaN, NaN, NaN, -11941.22
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -12079.68, -12079.68, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -21168.40, -12083.10, -11951.33, -12057.35, -13018.85, -12917.11, -13344.16, -12883.62, -12974.35, -13708.29, -14616.91, -12079.68, NaN, NaN, NaN, -11941.22
, memory, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.53 GB, 0.37 GB, 7.06 GB, 0.34 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, 0.15 GB, NaN GB, NaN GB, NaN GB, 15.08 GB
, runtime, 0.15, 212.83, 292.32, 0.08, 118.52, 34159.91, 41.05, 66.57, 37.88, 263.74, 217.92, 229.99, 210.48, 211.20, 209.48, 381.81, 1190.79, 3728.02, 779.00, 814.22, 798.62, 827.95, 798.99, 771.71, 797.84, 824.95, 39.70, NaN, NaN, NaN, 803.94
2HQW, value, -12588.76, -13501.93, -13501.93, -12588.76, -12889.77, -12977.29, -13501.93, -13501.93, -13501.93, -13501.93, -13501.93, -13501.93, -13501.93, -13501.93, -13501.93, -9652.87, -12847.95, -13501.06, -13330.31, -12220.92, -12215.36, -11829.73, -12125.97, -12350.33, -11524.02, -10978.64, -13369.60, NaN, NaN, NaN, -13501.93
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -13589.93, -13589.93, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -22702.81, -13588.08, -13503.00, -13533.99, -14236.15, -14144.93, -14484.37, -14141.08, -14471.77, -14882.21, -16139.41, -13589.93, NaN, NaN, NaN, -13501.93
