Command Line Args:
Namespace(root_dir='/home/ahabbas/data/learnDBCA/shape_matching/train_split/instances/')
file: 000002696400_737800_Plier1_350_Plier3_350_noniso.lp, Per iteration time: 0.171, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_Plier1_350_Plier7_350_noniso.lp, Per iteration time: 0.180, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_Teddy1_350_Teddy12_350_noniso.lp, Per iteration time: 0.179, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_Teddy1_350_Teddy7_350_noniso.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_cat0_350_cat6_350_.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_centaur0_350_centaur5_350_.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_centaur0_350_david0_350_noniso.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_david0_350_david12_350_.lp, Per iteration time: 0.175, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_dog10_350_cat10_350_noniso.lp, Per iteration time: 0.180, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_dog10_350_dog8_350_.lp, Per iteration time: 0.180, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_fatkid10_350_fatkid7_350_.lp, Per iteration time: 0.170, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_gorilla14_350_gorilla8_350_.lp, Per iteration time: 0.173, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_horse0_350_horse10_350_.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_kid10_350_fatkid7_350_noniso.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_kid10_350_kid5_350_.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_michael0_350_michael2_350_.lp, Per iteration time: 0.180, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_victoria0_350_victoria2_350_.lp, Per iteration time: 0.170, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_wolf0_350_wolf1_350_.lp, Per iteration time: 0.170, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000003147572_861144_michael13_partial2_9992_michael15_partial5_17452_partial.lp, Per iteration time: 0.239, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 861144, Num BDD layers: 13880432
file: 000004049736_1107472_david11_A0.90_H5_15318_david6_partial3_11312_partial.lp, Per iteration time: 0.243, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1107472, Num BDD layers: 17858416
file: 000004577832_1251664_wolf0_A0.90_H5_7104_wolf2_partial2_5922_partial.lp, Per iteration time: 0.236, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1251664, Num BDD layers: 20186992
file: 000004665848_1275696_dog1c_14738_dog5c_17360_partial.lp, Per iteration time: 0.235, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1275696, Num BDD layers: 20575088
file: 000005501000_1502500_Teddy1_500_Teddy3_500_noniso.lp, Per iteration time: 0.242, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1502500, Num BDD layers: 24256500
file: 000005502000_1504000_Plane1_500_Plane3_500_noniso.lp, Per iteration time: 0.236, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_Plier1_500_Plier3_500_noniso.lp, Per iteration time: 0.238, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_cat0_500_cat6_500_.lp, Per iteration time: 0.239, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_centaur0_500_centaur5_500_.lp, Per iteration time: 0.242, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_centaur0_500_david0_500_noniso.lp, Per iteration time: 0.240, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_david0_500_david12_500_.lp, Per iteration time: 0.241, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_dog10_500_cat10_500_noniso.lp, Per iteration time: 0.242, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_dog10_500_dog8_500_.lp, Per iteration time: 0.240, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_fatkid10_500_fatkid7_500_.lp, Per iteration time: 0.237, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_gorilla14_500_gorilla8_500_.lp, Per iteration time: 0.241, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_horse0_500_horse10_500_.lp, Per iteration time: 0.240, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_kid10_500_fatkid7_500_noniso.lp, Per iteration time: 0.240, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_kid10_500_kid5_500_.lp, Per iteration time: 0.237, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
file: 000005502000_1504000_michael0_500_michael2_500_.lp, Per iteration time: 0.240, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 1504000, Num BDD layers: 24262000
