file: easy/instances/ponderthis0517-inf/instances/0.lp            , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 78, Num BDD layers: 3003
file: easy/instances/supportcase16/instances/0.lp                 , LP obj:      71.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:      68.782, Percent BDD LB gap: 3.123, Num cons: 56, Num BDD layers: 539
file: easy/instances/cvs16r106-72/instances/0.lp                  , LP obj:     -80.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:     -84.032, Percent BDD LB gap: 5.041, Num cons: 2282, Num BDD layers: 8462
file: easy/instances/neos-876808/instances/0.lp                   , LP obj:   10728.197, ILP obj: nan, Percent rel. gap: nan, BDD LB:   10728.196, Percent BDD LB gap: 0.000, Num cons: 296, Num BDD layers: 1830
file: easy/instances/neos-876808/instances/1.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1, Num BDD layers: 6
file: easy/instances/neos-876808/instances/2.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1, Num BDD layers: 5
file: easy/instances/neos-876808/instances/3.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1, Num BDD layers: 6
file: easy/instances/neos-876808/instances/4.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1, Num BDD layers: 6
file: easy/instances/neos18/instances/0.lp                        , LP obj:       1.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       1.000, Percent BDD LB gap: 0.000, Num cons: 231, Num BDD layers: 825
file: easy/instances/acc-tight4/instances/0.lp                    , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1890, Num BDD layers: 16128
file: easy/instances/neos-829552/instances/0.lp                   , LP obj:       0.002, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.002, Percent BDD LB gap: 0.000, Num cons: 27, Num BDD layers: 725
file: easy/instances/neos-829552/instances/1.lp                   , LP obj:       0.002, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.002, Percent BDD LB gap: -0.000, Num cons: 35, Num BDD layers: 1213
file: easy/instances/stein45inf/instances/0.lp                    , LP obj:      22.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:      15.314, Percent BDD LB gap: 30.392, Num cons: 332, Num BDD layers: 1411
file: easy/instances/cvs08r139-94/instances/0.lp                  , LP obj:    -139.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:    -163.054, Percent BDD LB gap: 17.305, Num cons: 2398, Num BDD layers: 8854
file: easy/instances/f2gap40400/instances/0.lp                    , LP obj:   20650.898, ILP obj: nan, Percent rel. gap: nan, BDD LB:   20772.000, Percent BDD LB gap: -0.586, Num cons: 40, Num BDD layers: 840
file: easy/instances/supportcase11/instances/0.lp                 , LP obj:      -5.495, ILP obj: nan, Percent rel. gap: nan, BDD LB:      -5.558, Percent BDD LB gap: 1.159, Num cons: 298, Num BDD layers: 1892
file: easy/instances/chromaticindex32-8/instances/0.lp            , LP obj:       3.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       2.992, Percent BDD LB gap: 0.270, Num cons: 2111, Num BDD layers: 10547
