file: easy/instances/neos-3555904-turama/instances/1.lp           , Per iteration time: 0.005, Num cons: 409, Num BDD layers: 2072.
file: easy/instances/neos-3555904-turama/instances/2.lp           , Per iteration time: 0.000, Num cons: 18, Num BDD layers: 70.
file: easy/instances/neos-3555904-turama/instances/3.lp           , Per iteration time: 0.006, Num cons: 879, Num BDD layers: 4203.
file: easy/instances/neos-3555904-turama/instances/4.lp           , Per iteration time: 0.018, Num cons: 2462, Num BDD layers: 14465.
file: easy/instances/neos-3555904-turama/instances/5.lp           , Per iteration time: 0.008, Num cons: 1010, Num BDD layers: 5002.
file: easy/instances/neos-3555904-turama/instances/6.lp           , Per iteration time: 0.019, Num cons: 2027, Num BDD layers: 12044.
file: easy/instances/neos-3555904-turama/instances/7.lp           , Per iteration time: 0.011, Num cons: 920, Num BDD layers: 5425.
file: easy/instances/chromaticindex128-5/instances/0.lp           , Per iteration time: 0.000, Num cons: 7, Num BDD layers: 31.
file: easy/instances/ab71-20-100/instances/0.lp                   , Per iteration time: 0.021, Num cons: 2424, Num BDD layers: 60829.
file: easy/instances/stein15inf/instances/0.lp                    , Per iteration time: 0.000, Num cons: 37, Num BDD layers: 172.
file: easy/instances/glass-sc/instances/0.lp                      , Per iteration time: 0.000, Num cons: 2501, Num BDD layers: 28407.
file: easy/instances/glass-sc/instances/1.lp                      , Per iteration time: 0.000, Num cons: 2498, Num BDD layers: 28364.
file: easy/instances/acc-tight5/instances/0.lp                    , Per iteration time: 0.001, Num cons: 1450, Num BDD layers: 11180.
file: easy/instances/neos-1330346/instances/0.lp                  , Per iteration time: 0.001, Num cons: 1620, Num BDD layers: 10692.
file: easy/instances/neos-3437289-erdre/instances/0.lp            , Per iteration time: 0.001, Num cons: 2054, Num BDD layers: 30760.
file: easy/instances/acc-tight2/instances/0.lp                    , Per iteration time: 0.001, Num cons: 1224, Num BDD layers: 14121.
file: easy/instances/neos-827015/instances/0.lp                   , Per iteration time: 0.002, Num cons: 1047, Num BDD layers: 5995.
file: easy/instances/neos-827015/instances/1.lp                   , Per iteration time: 0.002, Num cons: 1029, Num BDD layers: 6042.
file: easy/instances/f2gap201600/instances/0.lp                   , Per iteration time: 0.024, Num cons: 20, Num BDD layers: 3220.
file: easy/instances/ab69-40-100/instances/0.lp                   , Per iteration time: 0.025, Num cons: 238, Num BDD layers: 64825.
file: easy/instances/ab72-40-100/instances/0.lp                   , Per iteration time: 0.025, Num cons: 475, Num BDD layers: 34095.
cumulative execution time for flush_forward_states is 0 ms
cumulative execution time for backward_iteration is 3221 ms
cumulative execution time for flush_backward_states is 0 ms
cumulative execution time for min_marginals_from_directional_costs is 5615 ms
cumulative execution time for forward_iteration is 3342 ms
cumulative execution time for iteration is 6564 ms
cumulative execution time for backward_run is 39 ms
cumulative execution time for lower_bound is 92 ms
